epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1798,1.59387,2.64634,1.34532,0.00564,0.23552,0.04877,0.02295,1.69994,3.43519,1.45417,0.00064,0.00064,0.00064
2,68.8976,1.66959,2.14663,1.47383,0.07542,0.05212,0.01719,0.00659,1.84358,3.35535,1.78251,0.00128713,0.00128713,0.00128713
3,101.164,1.68397,2.05914,1.47534,0.10189,0.08687,0.02875,0.01182,2.00623,3.85874,2.01002,0.00192119,0.00192119,0.00192119
4,133.203,1.76511,2.02053,1.53986,0.06275,0.07143,0.02079,0.01012,2.09705,19.2224,2.09271,0.0019406,0.0019406,0.0019406
5,164.138,1.70788,1.89676,1.50053,0.12244,0.26255,0.06472,0.03207,1.72224,8.17743,1.52987,0.0019208,0.0019208,0.0019208
6,194.742,1.66328,1.83945,1.46594,0.32694,0.21429,0.1654,0.08255,1.90139,4.2437,1.6653,0.001901,0.001901,0.001901
7,227.203,1.63618,1.7846,1.46091,0.35793,0.23359,0.19428,0.11022,1.6645,4.70096,1.44632,0.0018812,0.0018812,0.0018812
8,260.498,1.65872,1.77416,1.4667,0.44678,0.28958,0.26472,0.13842,1.82418,2.75376,1.51025,0.0018614,0.0018614,0.0018614
9,294.059,1.60778,1.72012,1.42816,0.44379,0.2973,0.28027,0.14945,1.80926,2.19564,1.48074,0.0018416,0.0018416,0.0018416
10,326.608,1.57366,1.65074,1.4187,0.50208,0.26448,0.26116,0.15143,1.66237,1.99201,1.39169,0.0018218,0.0018218,0.0018218
11,359.159,1.59724,1.71125,1.44879,0.56625,0.28378,0.31188,0.16168,1.81557,2.17634,1.46301,0.001802,0.001802,0.001802
12,392.04,1.56774,1.65206,1.41397,0.54172,0.29151,0.30666,0.1717,1.64754,1.92158,1.37854,0.0017822,0.0017822,0.0017822
13,422.603,1.57242,1.6188,1.40169,0.56573,0.2722,0.31262,0.1678,1.76184,1.7337,1.39081,0.0017624,0.0017624,0.0017624
14,454.865,1.58605,1.63404,1.40985,0.40618,0.35257,0.30181,0.15391,1.82099,1.76993,1.42504,0.0017426,0.0017426,0.0017426
15,486.305,1.55461,1.64167,1.4145,0.53344,0.29344,0.30529,0.18003,1.55169,1.79307,1.32327,0.0017228,0.0017228,0.0017228
16,517.549,1.52399,1.60743,1.38158,0.47625,0.36486,0.34601,0.19242,1.68173,1.95508,1.38232,0.001703,0.001703,0.001703
17,550.178,1.49515,1.51686,1.36762,0.48735,0.33398,0.3447,0.19255,1.63434,1.81924,1.33703,0.0016832,0.0016832,0.0016832
18,582.312,1.52347,1.53475,1.35393,0.48237,0.34181,0.35756,0.1996,1.62869,1.55515,1.34355,0.0016634,0.0016634,0.0016634
19,615.673,1.49892,1.52279,1.36855,0.45257,0.35135,0.35884,0.20129,1.70953,1.53039,1.36086,0.0016436,0.0016436,0.0016436
20,646.569,1.49103,1.5176,1.37478,0.45325,0.35714,0.34303,0.20215,1.57609,1.66909,1.30759,0.0016238,0.0016238,0.0016238
21,679.354,1.48505,1.49463,1.36164,0.46076,0.34556,0.32849,0.18111,1.73582,2.30779,1.39536,0.001604,0.001604,0.001604
22,711.92,1.53263,1.51003,1.37137,0.58106,0.30695,0.33498,0.2048,1.59484,1.66618,1.32512,0.0015842,0.0015842,0.0015842
23,746.772,1.4966,1.451,1.35382,0.60342,0.32046,0.36106,0.20327,1.61053,1.60803,1.3335,0.0015644,0.0015644,0.0015644
24,780.217,1.4725,1.4717,1.35596,0.55978,0.34612,0.37246,0.19949,1.7417,1.59417,1.3907,0.0015446,0.0015446,0.0015446
25,813.955,1.44866,1.43924,1.33992,0.57258,0.32239,0.36989,0.21382,1.55361,1.68463,1.29321,0.0015248,0.0015248,0.0015248
26,845.782,1.46457,1.43675,1.33596,0.50544,0.37066,0.3738,0.22805,1.49286,1.50451,1.26274,0.001505,0.001505,0.001505
27,879.222,1.44814,1.40303,1.3428,0.48811,0.35328,0.36821,0.21312,1.59083,1.50125,1.30184,0.0014852,0.0014852,0.0014852
28,911.025,1.47581,1.431,1.35319,0.49586,0.31081,0.32536,0.19444,1.61383,1.60459,1.33808,0.0014654,0.0014654,0.0014654
29,945.023,1.42412,1.37658,1.3327,0.50397,0.35698,0.3542,0.19389,1.73721,1.71325,1.37309,0.0014456,0.0014456,0.0014456
30,975.35,1.43253,1.39767,1.33968,0.52228,0.361,0.36803,0.221,1.4854,1.57147,1.26795,0.0014258,0.0014258,0.0014258
31,1007.57,1.43507,1.36585,1.3365,0.54163,0.35135,0.37599,0.21288,1.628,1.60386,1.29207,0.001406,0.001406,0.001406
32,1040.14,1.43902,1.37787,1.32089,0.45614,0.37838,0.3538,0.2111,1.5825,1.57548,1.30886,0.0013862,0.0013862,0.0013862
33,1072.91,1.45834,1.4043,1.32861,0.4343,0.38979,0.35925,0.20636,1.56843,1.60904,1.29831,0.0013664,0.0013664,0.0013664
34,1104.63,1.41652,1.39291,1.32127,0.56584,0.34749,0.37798,0.22239,1.5842,1.63424,1.32012,0.0013466,0.0013466,0.0013466
35,1136.67,1.4338,1.34704,1.32093,0.56217,0.33784,0.37185,0.21195,1.68539,1.51449,1.32452,0.0013268,0.0013268,0.0013268
36,1168.58,1.42337,1.36192,1.30663,0.46914,0.38803,0.36717,0.2207,1.54675,1.51566,1.25202,0.001307,0.001307,0.001307
37,1200.5,1.44016,1.35076,1.30809,0.53791,0.37645,0.3843,0.22282,1.63539,1.63426,1.32538,0.0012872,0.0012872,0.0012872
38,1231.96,1.42163,1.35631,1.31968,0.50331,0.39382,0.3888,0.21873,1.62056,1.5157,1.29185,0.0012674,0.0012674,0.0012674
39,1262.1,1.40947,1.33316,1.31177,0.58916,0.3668,0.40062,0.22239,1.62612,1.48855,1.29228,0.0012476,0.0012476,0.0012476
40,1294.86,1.40046,1.31969,1.31428,0.50321,0.34942,0.36966,0.20175,1.65193,1.79069,1.32574,0.0012278,0.0012278,0.0012278
41,1327.33,1.37808,1.30376,1.28223,0.53959,0.36486,0.39186,0.21348,1.65505,1.45324,1.30501,0.001208,0.001208,0.001208
42,1359.66,1.37903,1.28761,1.30498,0.60046,0.35714,0.38826,0.22271,1.63181,1.52851,1.3123,0.0011882,0.0011882,0.0011882
43,1392.12,1.40446,1.32561,1.30502,0.59985,0.39382,0.4099,0.23472,1.56773,1.55147,1.28393,0.0011684,0.0011684,0.0011684
44,1423.48,1.37835,1.27482,1.27549,0.56166,0.36873,0.41275,0.24312,1.52913,1.44171,1.26491,0.0011486,0.0011486,0.0011486
45,1455.15,1.37498,1.30246,1.28834,0.5857,0.361,0.40627,0.23616,1.59014,1.40615,1.26433,0.0011288,0.0011288,0.0011288
46,1488.19,1.34936,1.26762,1.26736,0.52354,0.39961,0.40743,0.22814,1.62398,1.48613,1.2846,0.001109,0.001109,0.001109
47,1519.15,1.36186,1.26026,1.2701,0.54381,0.38891,0.38948,0.2388,1.46647,1.44111,1.2653,0.0010892,0.0010892,0.0010892
48,1553.42,1.35083,1.26478,1.25165,0.5895,0.37425,0.40866,0.25064,1.47171,1.38293,1.2519,0.0010694,0.0010694,0.0010694
49,1585.34,1.35011,1.25217,1.26881,0.61301,0.38224,0.42001,0.26262,1.50094,1.3472,1.25032,0.0010496,0.0010496,0.0010496
50,1615.75,1.3556,1.26089,1.27312,0.57963,0.41699,0.45114,0.26459,1.51292,1.33572,1.24013,0.0010298,0.0010298,0.0010298
51,1648.73,1.33417,1.22464,1.2616,0.56732,0.40247,0.41117,0.26979,1.29356,1.35027,1.19317,0.00101,0.00101,0.00101
52,1680.21,1.30935,1.1992,1.25325,0.58413,0.3668,0.41799,0.26259,1.36676,1.33395,1.22427,0.0009902,0.0009902,0.0009902
53,1711.95,1.32626,1.24116,1.27406,0.49667,0.42857,0.41196,0.26369,1.38354,1.41072,1.20559,0.0009704,0.0009704,0.0009704
54,1744.5,1.32735,1.24312,1.25552,0.52598,0.38417,0.4031,0.24748,1.40737,1.47087,1.23292,0.0009506,0.0009506,0.0009506
55,1777.87,1.29159,1.21253,1.25485,0.56863,0.40462,0.43837,0.27374,1.34187,1.30681,1.19291,0.0009308,0.0009308,0.0009308
56,1809.59,1.30674,1.21312,1.25931,0.61575,0.38803,0.43831,0.27392,1.31996,1.34753,1.18638,0.000911,0.000911,0.000911
57,1842.75,1.27094,1.15939,1.23932,0.60875,0.34543,0.39889,0.26596,1.26746,1.35708,1.17485,0.0008912,0.0008912,0.0008912
58,1874.34,1.30523,1.20057,1.23392,0.529,0.38996,0.41244,0.26935,1.24274,1.3937,1.16651,0.0008714,0.0008714,0.0008714
59,1905.8,1.29418,1.18825,1.23652,0.58537,0.39575,0.4307,0.28027,1.34447,1.29353,1.17739,0.0008516,0.0008516,0.0008516
