epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9061,1.60271,2.46136,1.49624,0.00919,0.20463,0.00498,0.00221,nan,nan,nan,0.000655367,0.000655367,0.000655367
2,76.4619,1.76303,1.99786,1.60391,0.04962,0.13707,0.01721,0.00701,1.9881,72.3441,2.22644,0.00130895,0.00130895,0.00130895
3,112.275,1.86731,2.10156,1.68409,0.0031,0.18147,0.00176,0.00066,nan,nan,nan,0.00194932,0.00194932,0.00194932
4,149.845,1.82272,2.06936,1.63855,0.25045,0.28378,0.178,0.07024,2.15954,20.1062,2.20897,0.0019406,0.0019406,0.0019406
5,187.37,1.76929,1.97355,1.61243,0.1129,0.22587,0.05979,0.0279,1.86166,11.4617,1.71157,0.0019208,0.0019208,0.0019208
6,223.955,1.74218,1.90718,1.56149,0.37723,0.23938,0.19472,0.09458,1.91171,4.20897,1.64488,0.001901,0.001901,0.001901
7,261.749,1.73707,1.89764,1.57218,0.36402,0.25856,0.22058,0.11166,1.87489,4.53516,1.69803,0.0018812,0.0018812,0.0018812
8,298.219,1.67609,1.78565,1.50103,0.39079,0.25097,0.21233,0.10449,1.82972,2.91195,1.58558,0.0018614,0.0018614,0.0018614
9,336.009,1.629,1.76163,1.49381,0.4477,0.29344,0.28271,0.15196,1.78853,2.24879,1.52891,0.0018416,0.0018416,0.0018416
10,372.693,1.62565,1.72762,1.48537,0.34991,0.27413,0.19452,0.10251,1.67383,2.42245,1.4895,0.0018218,0.0018218,0.0018218
11,409.716,1.62503,1.73977,1.48304,0.48903,0.33398,0.32831,0.16916,1.8788,2.91165,1.56207,0.001802,0.001802,0.001802
12,446.948,1.5937,1.67683,1.47995,0.49109,0.34363,0.31616,0.15645,1.8715,2.11758,1.56771,0.0017822,0.0017822,0.0017822
13,483.504,1.58189,1.70208,1.44941,0.4329,0.30695,0.30255,0.15659,1.83217,2.08299,1.55041,0.0017624,0.0017624,0.0017624
14,520.142,1.56785,1.62518,1.4334,0.53872,0.31274,0.33736,0.1743,1.81321,2.27671,1.52772,0.0017426,0.0017426,0.0017426
15,555.982,1.5553,1.64326,1.44484,0.47269,0.35996,0.33143,0.1884,1.72876,2.44021,1.50387,0.0017228,0.0017228,0.0017228
16,593.086,1.53883,1.61188,1.44672,0.4587,0.35328,0.34724,0.20641,1.68841,1.86108,1.49672,0.001703,0.001703,0.001703
17,629.854,1.54316,1.61688,1.4396,0.57356,0.32046,0.36395,0.20412,1.68744,1.79825,1.47381,0.0016832,0.0016832,0.0016832
