epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0294,3.30982,7.27925,2.64298,0.0025,0.21236,0.04288,0.0217,3.43919,8.1082,2.49351,0.000653333,0.000653333,0.000653333
2,71.2537,3.4885,6.01361,2.76166,0.26659,0.15444,0.1341,0.07114,3.96969,7.02634,3.35647,0.00130693,0.00130693,0.00130693
3,103.906,3.67362,5.33749,2.87092,0.27234,0.17375,0.12484,0.0561,4.2884,13.6953,3.52414,0.00194733,0.00194733,0.00194733
4,137.641,3.72916,4.94064,2.8892,0.32658,0.25869,0.19815,0.09453,3.97527,6.75184,2.93178,0.0019406,0.0019406,0.0019406
5,169.928,3.62779,4.62235,2.86264,0.29995,0.23938,0.17785,0.09171,3.792,5.17674,2.92937,0.0019208,0.0019208,0.0019208
6,204.084,3.64404,4.36686,2.82838,0.31542,0.20463,0.1747,0.09628,3.89838,5.45327,2.8084,0.001901,0.001901,0.001901
7,236.201,3.58558,4.23834,2.79906,0.32769,0.25097,0.21706,0.10763,4.05075,5.07769,2.92781,0.0018812,0.0018812,0.0018812
8,269.71,3.58533,4.19152,2.80731,0.34488,0.27606,0.20711,0.11006,3.82783,4.85512,2.7411,0.0018614,0.0018614,0.0018614
9,304.699,3.50924,4.09603,2.73725,0.38252,0.24324,0.21672,0.1103,3.76721,4.62613,2.74501,0.0018416,0.0018416,0.0018416
10,338.038,3.4925,3.97339,2.73822,0.37159,0.31081,0.27021,0.13626,3.85674,4.39117,2.76441,0.0018218,0.0018218,0.0018218
11,373.201,3.47181,3.95354,2.71461,0.44024,0.29923,0.29482,0.16579,3.72992,3.88893,2.66558,0.001802,0.001802,0.001802
12,407.07,3.44876,3.83204,2.71005,0.38947,0.33398,0.2739,0.14157,3.73644,4.07278,2.63014,0.0017822,0.0017822,0.0017822
13,441.955,3.3893,3.85597,2.69475,0.39904,0.31274,0.27386,0.14932,3.68185,3.99351,2.6262,0.0017624,0.0017624,0.0017624
14,475.813,3.38867,3.74536,2.70698,0.37266,0.361,0.3015,0.16331,3.66272,3.8897,2.6401,0.0017426,0.0017426,0.0017426
15,509.479,3.32876,3.66735,2.63861,0.47258,0.30309,0.30699,0.1667,3.50475,3.94544,2.55092,0.0017228,0.0017228,0.0017228
16,543.074,3.39951,3.78771,2.68228,0.47685,0.29537,0.28593,0.15995,3.65594,3.86329,2.58716,0.001703,0.001703,0.001703
17,575.634,3.3317,3.67729,2.6294,0.47745,0.31927,0.31282,0.16327,3.63583,4.46194,2.58304,0.0016832,0.0016832,0.0016832
18,608.384,3.34841,3.6419,2.59178,0.44875,0.34749,0.32595,0.17998,3.48721,3.76501,2.50971,0.0016634,0.0016634,0.0016634
19,640.733,3.30839,3.56601,2.62273,0.52741,0.34556,0.35482,0.19161,3.68723,3.59179,2.54568,0.0016436,0.0016436,0.0016436
20,673.14,3.30701,3.55349,2.64893,0.55053,0.29344,0.33835,0.182,3.59857,3.5994,2.58319,0.0016238,0.0016238,0.0016238
21,707.966,3.22768,3.50452,2.63839,0.44214,0.3417,0.32228,0.16913,3.75795,4.03799,2.63884,0.001604,0.001604,0.001604
