epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2696,3.39764,11.9445,2.7077,0.30552,0.20077,0.14125,0.06401,4.03891,18.5434,3.58495,0.000659722,0.000659722,0.000659722
2,74.8643,3.95015,4.88727,3.02877,0.22106,0.19691,0.10174,0.04217,4.32648,13.2776,3.77892,0.00131326,0.00131326,0.00131326
3,113.045,3.95865,4.6342,3.00409,0.3577,0.18147,0.1464,0.07305,nan,nan,nan,0.00195359,0.00195359,0.00195359
4,149.731,3.90817,4.55123,2.97608,0.33161,0.25869,0.18979,0.09343,4.08637,5.68041,2.9281,0.0019406,0.0019406,0.0019406
5,186.108,3.85863,4.46624,2.95571,0.34092,0.26641,0.18457,0.08995,4.1163,8.23539,2.98702,0.0019208,0.0019208,0.0019208
6,222.536,3.75949,4.3645,2.89079,0.33812,0.32939,0.24214,0.1087,4.08197,5.11774,2.87512,0.001901,0.001901,0.001901
7,259.298,3.69718,4.24219,2.88109,0.38598,0.26448,0.24732,0.11793,4.22393,5.51228,3.00745,0.0018812,0.0018812,0.0018812
8,295.296,3.66147,4.13533,2.84969,0.47063,0.28185,0.26972,0.13822,3.81933,4.19522,2.7532,0.0018614,0.0018614,0.0018614
9,331.786,3.62918,4.07606,2.85034,0.3793,0.30695,0.26068,0.12526,4.01229,4.23491,2.85715,0.0018416,0.0018416,0.0018416
10,367.678,3.58664,4.05618,2.77213,0.34348,0.30502,0.25145,0.14501,3.52093,4.51515,2.67936,0.0018218,0.0018218,0.0018218
11,403.785,3.48247,3.89457,2.73293,0.44508,0.33784,0.30734,0.1577,3.7438,3.7286,2.67594,0.001802,0.001802,0.001802
12,440.255,3.47652,3.86619,2.74122,0.49193,0.32625,0.3162,0.14541,3.91629,4.01459,2.75236,0.0017822,0.0017822,0.0017822
13,477.474,3.38544,3.85173,2.73836,0.45324,0.33977,0.32679,0.1597,3.79207,3.79181,2.75314,0.0017624,0.0017624,0.0017624
14,514.405,3.45217,3.84256,2.72741,0.53659,0.32239,0.33735,0.18609,3.52998,3.52053,2.5933,0.0017426,0.0017426,0.0017426
15,552.334,3.4054,3.78852,2.74461,0.46796,0.31467,0.32299,0.18111,3.55168,3.64464,2.66152,0.0017228,0.0017228,0.0017228
16,589.796,3.37041,3.76423,2.68424,0.45582,0.34942,0.34074,0.20149,3.29572,3.83463,2.55794,0.001703,0.001703,0.001703
17,626.252,3.28292,3.58839,2.6633,0.46642,0.36293,0.33728,0.17802,3.66305,3.64833,2.61097,0.0016832,0.0016832,0.0016832
18,662.866,3.30751,3.63754,2.62983,0.48056,0.33977,0.33012,0.18017,3.57309,3.57717,2.59931,0.0016634,0.0016634,0.0016634
19,699.465,3.27741,3.58405,2.64815,0.52834,0.33012,0.33692,0.18154,3.55182,3.57931,2.59544,0.0016436,0.0016436,0.0016436
20,736.242,3.34393,3.59056,2.67167,0.43622,0.3555,0.32941,0.18134,3.57192,3.62632,2.60382,0.0016238,0.0016238,0.0016238
21,772.811,3.25895,3.44269,2.60449,0.46171,0.36486,0.34369,0.18112,3.58897,3.47121,2.58251,0.001604,0.001604,0.001604
22,809.897,3.34188,3.52442,2.62896,0.4078,0.35521,0.32398,0.19472,3.4485,3.55179,2.55643,0.0015842,0.0015842,0.0015842
23,846.102,3.2451,3.47355,2.61347,0.44614,0.35907,0.34853,0.20111,3.36456,3.41987,2.49186,0.0015644,0.0015644,0.0015644
24,882.96,3.22827,3.45894,2.61759,0.49193,0.32819,0.34056,0.19009,3.47584,3.45317,2.52672,0.0015446,0.0015446,0.0015446
25,919.706,3.18487,3.42176,2.58114,0.48899,0.35135,0.33553,0.18655,3.45203,3.46266,2.52304,0.0015248,0.0015248,0.0015248
26,956.736,3.16451,3.39807,2.57876,0.44262,0.39189,0.34629,0.19387,3.5966,3.39487,2.58299,0.001505,0.001505,0.001505
27,993.605,3.24422,3.51159,2.6051,0.44731,0.39768,0.36371,0.19729,3.37442,3.67389,2.45576,0.0014852,0.0014852,0.0014852
28,1029.85,3.11725,3.3473,2.55566,0.52155,0.361,0.36978,0.2064,3.38401,3.33338,2.51544,0.0014654,0.0014654,0.0014654
29,1066.72,3.1285,3.34358,2.56057,0.45364,0.40347,0.38435,0.20842,3.56139,3.26303,2.5193,0.0014456,0.0014456,0.0014456
30,1103.74,3.13364,3.22194,2.55478,0.51258,0.39189,0.40431,0.22023,3.56369,3.17285,2.52385,0.0014258,0.0014258,0.0014258
